sthenoId,sthenoName,status,externalId,externalName,confidence,variants,hostedStatus,fallback,notes
"banded-pallof-press","Banded Pallof Press","AMBIGUOUS","200-workouts:0185","banded overhead press","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"banded-pull-apart","Resistance-Band Pull-Apart","AMBIGUOUS","200-workouts:0294","resistance band high side pull","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"banded-row-seated","Seated Resistance-Band Row","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-row-standing","Standing Resistance-Band Row","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-squat","Resistance-Band Squat","AUTO_MATCH","200-workouts:0277","resistance band squat","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"banded-standing-chest-press","Banded Standing Chest Press","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-standing-hamstring-curl","Banded Standing Hamstring Curl","UNMATCHED","","","0.428","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-standing-hip-abduction","Banded Standing Hip Abduction","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-straight-arm-pulldown","Banded Straight-Arm Pulldown","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-triceps-pressdown","Banded Triceps Pressdown","UNMATCHED","","","0.424","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-back-squat","Barbell Back Squat","AUTO_MATCH","100-gym-workouts:0054","barbell back squat","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"barbell-bench-press","Barbell Bench Press","AMBIGUOUS","100-gym-workouts:0042","barbell bench press flat","0.82","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-bent-over-row","Barbell Bent-Over Row","AUTO_MATCH","100-gym-workouts:0028","barbell bent over row","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"barbell-box-squat","Barbell Box Squat","AMBIGUOUS","100-gym-workouts:0054","barbell back squat","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-bradford-press","Barbell Bradford Press","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-bulgarian-split-squat","Barbell Bulgarian Split Squat","AUTO_MATCH","100-gym-workouts:0055","barbell bulgarian split squat","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"barbell-california-press","California Press","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-curl","Barbell Curl","AMBIGUOUS","100-gym-workouts:0009","barbell curl standard","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-drag-curl","Barbell Drag Curl","AMBIGUOUS","100-gym-workouts:0009","barbell curl standard","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-floor-press","Barbell Floor Press","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-front-squat","Barbell Front Squat","AUTO_MATCH","100-gym-workouts:0056","barbell front squat","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"barbell-glute-bridge","Barbell Glute Bridge","AMBIGUOUS","100-workouts:1139","glute bridge","0.62","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-good-morning","Barbell Good Morning","AUTO_MATCH","100-gym-workouts:0035","good morning barbell","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"barbell-hip-thrust-pause","Paused Barbell Hip Thrust","AMBIGUOUS","100-gym-workouts:0057","barbell hip thrust","0.82","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-inverted-shrug","Barbell Overhead Shrug","AMBIGUOUS","100-gym-workouts:0029","barbell shrug","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-jm-press","Barbell JM Press","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-lateral-lunge","Barbell Lateral Lunge","AMBIGUOUS","200-workouts:0216","lateral lunge","0.62","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-overhead-press","Standing Barbell Overhead Press","AUTO_MATCH","100-gym-workouts:0088","barbell overhead press standing","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"barbell-pin-press-overhead","Barbell Overhead Pin Press","AMBIGUOUS","100-gym-workouts:0088","barbell overhead press standing","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-pin-squat","Barbell Pin Squat","AMBIGUOUS","100-gym-workouts:0054","barbell back squat","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-preacher-curl","Barbell Preacher Curl","AMBIGUOUS","100-gym-workouts:0009","barbell curl standard","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-push-press","Barbell Push Press","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-rack-pull","Barbell Rack Pull","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-rdl","Barbell Romanian Deadlift","AUTO_MATCH","100-gym-workouts:0060","barbell romanian deadlift","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"barbell-reverse-curl","Barbell Reverse Curl","AMBIGUOUS","100-gym-workouts:0009","barbell curl standard","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-reverse-lunge","Barbell Reverse Lunge","AMBIGUOUS","100-gym-workouts:0059","barbell reverse lunges","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-reverse-wrist-curl","Barbell Reverse Wrist Curl","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-rolling-triceps-extension","Barbell Rolling Triceps Extension","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-single-leg-hip-thrust","Barbell Single-Leg Hip Thrust","AMBIGUOUS","100-gym-workouts:0057","barbell hip thrust","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-spider-curl","Barbell Spider Curl","AMBIGUOUS","100-gym-workouts:0009","barbell curl standard","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-step-up","Barbell Step-Up","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"barbell-wrist-curl","Barbell Wrist Curl","AMBIGUOUS","100-gym-workouts:0009","barbell curl standard","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"barbell-z-press","Barbell Z Press","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"bayesian-cable-curl","Bayesian Cable Curl","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"bear-crawl","Bear Crawl","AUTO_MATCH","200-workouts:0209","bear crawl","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"bear-hug-dumbbell-carry","Bear-Hug Dumbbell Carry","UNMATCHED","","","0.424","","pending","true","No credible provider candidate; generated fallback remains active."
"belt-squat","Belt Squat","AMBIGUOUS","200-workouts:0280","squat machine","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"bench-triceps-dip-feet-assisted","Feet-Assisted Bench Dip","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"bent-over-dumbbell-reverse-fly","Bent-Over Dumbbell Reverse Fly","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"bird-dog","Bird Dog","AUTO_MATCH","100-workouts:1111","bird dog","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"bodyweight-bicycle-crunch-controlled","Controlled Bicycle Crunch","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"bodyweight-box-squat","Bodyweight Box Squat","UNMATCHED","","","0.52","","pending","true","No credible provider candidate; generated fallback remains active."
"bodyweight-calf-raise","Bodyweight Calf Raise","AMBIGUOUS","200-workouts:0281","standing calf raise","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"bodyweight-hip-hinge","Bodyweight Hip Hinge","AMBIGUOUS","100-gym-workouts:0065","dumbbell hip hinge","0.62","","pending","true","Candidate requires human review; generated fallback remains active."
"bodyweight-lateral-lunge","Bodyweight Lateral Lunge","AUTO_MATCH","200-workouts:0216","lateral lunge","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"bodyweight-mountain-climber-slow","Slow Mountain Climber","AMBIGUOUS","100-workouts:1166","mountain climber","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"bodyweight-pause-squat","Bodyweight Pause Squat","UNMATCHED","","","0.52","","pending","true","No credible provider candidate; generated fallback remains active."
"bodyweight-reverse-lunge","Bodyweight Reverse Lunge","UNMATCHED","","","0.52","","pending","true","No credible provider candidate; generated fallback remains active."
"bodyweight-single-leg-box-squat","Assisted Single-Leg Box Squat","UNMATCHED","","","0.4857","","pending","true","No credible provider candidate; generated fallback remains active."
"bodyweight-split-squat","Bodyweight Split Squat","AMBIGUOUS","100-workouts:1113","bulgarian split squat","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"bodyweight-step-up","Bodyweight Step-Up","AMBIGUOUS","200-workouts:0284","weighted step-up","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"bodyweight-superman-pull","Superman Pull","UNMATCHED","","","0.38","","pending","true","No credible provider candidate; generated fallback remains active."
"bodyweight-tempo-squat","Bodyweight Tempo Squat","UNMATCHED","","","0.52","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-behind-body-lateral-raise","Behind-Body Cable Lateral Raise","AMBIGUOUS","200-workouts:0137","cable lateral raise","0.82","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-biceps-curl","Cable Biceps Curl","AMBIGUOUS","200-workouts:0134","biceps curl","0.62","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-chest-press","Standing Cable Chest Press","UNMATCHED","","","0.428","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-cross-body-lateral-raise","Cross-Body Cable Lateral Raise","AUTO_MATCH","100-gym-workouts:0095","cable cross lateral raise","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"cable-cross-body-rear-delt-fly","Cross-Body Cable Rear-Delt Fly","AMBIGUOUS","100-gym-workouts:0100","rear delt cable fly","0.856","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-cross-body-triceps-extension","Cross-Body Cable Triceps Extension","AMBIGUOUS","200-workouts:0140","cable overhead triceps extension","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-crunch","Kneeling Cable Crunch","AUTO_MATCH","100-gym-workouts:0002","cable crunch (kneeling)","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"cable-cuffed-hip-flexion","Cuffed Cable Hip Flexion","UNMATCHED","","","0.428","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-fly-high-to-low","High-to-Low Cable Fly","AMBIGUOUS","100-gym-workouts:0044","high to low cable crossover","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-fly-low-to-high","Low-to-High Cable Fly","AMBIGUOUS","100-gym-workouts:0044","high to low cable crossover","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-fly-mid","Standing Cable Fly","UNMATCHED","","","0.428","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-front-raise","Cable Front Raise","AMBIGUOUS","200-workouts:0137","cable lateral raise","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-glute-kickback","Cable Glute Kickback","AMBIGUOUS","100-gym-workouts:0061","cable leg kickback","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-high-pulley-biceps-curl","High-Pulley Cable Biceps Curl","AMBIGUOUS","200-workouts:0169","single arm high cable curl","0.5886","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-high-row","Cable High Row","AMBIGUOUS","200-workouts:0163","seated cable row","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-hip-flexion","Cable Hip Flexion","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-incline-rear-delt-fly","Incline-Bench Cable Rear-Delt Fly","AMBIGUOUS","100-gym-workouts:0100","rear delt cable fly","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-knee-extension-standing","Standing Cable Knee Extension","UNMATCHED","","","0.38","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-lateral-raise","Single-Arm Cable Lateral Raise","AMBIGUOUS","200-workouts:0137","cable lateral raise","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-lean-away-lateral-raise","Lean-Away Cable Lateral Raise","AMBIGUOUS","200-workouts:0137","cable lateral raise","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-lying-biceps-curl","Lying Cable Biceps Curl","UNMATCHED","","","0.52","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-lying-triceps-extension","Lying Cable Triceps Extension","AMBIGUOUS","200-workouts:0140","cable overhead triceps extension","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-pull-through","Cable Pull-Through","AMBIGUOUS","200-workouts:0138","cable pull","0.62","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-rear-delt-row","Cable Rear-Delt Row","AMBIGUOUS","100-gym-workouts:0100","rear delt cable fly","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"cable-reverse-fly","Cable Reverse Fly","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-reverse-lunge","Cable Reverse Lunge","UNMATCHED","","","0.424","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-row","Seated Cable Row","AUTO_MATCH","200-workouts:0163","seated cable row","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"cable-shrug","Cable Shrug","UNMATCHED","","","0.52","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-split-squat","Cable Split Squat","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-step-up","Cable Step-Up","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-triceps-kickback","Cable Triceps Kickback","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-triceps-pressdown","Cable Triceps Pressdown","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"cable-upright-row","Cable Upright Row","AUTO_MATCH","200-workouts:0287","cable upright row","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"cable-y-raise","Cable Y-Raise","AMBIGUOUS","200-workouts:0137","cable lateral raise","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"chest-supported-dumbbell-row","Chest-Supported Dumbbell Row","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"chest-supported-machine-row","Chest-Supported Machine Row","AMBIGUOUS","100-gym-workouts:0040","seated chest supported machine","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"close-grip-barbell-bench-press","Close-Grip Barbell Bench Press","AUTO_MATCH","100-gym-workouts:0013","close-grip bench press barbell","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"close-grip-lat-pulldown","Close-Grip Lat Pulldown","AMBIGUOUS","100-gym-workouts:0037","lat pull down wide grip","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"close-grip-push-up","Close-Grip Push-Up","AMBIGUOUS","200-workouts:0223","close grip (diamond) push-up","0.82","","pending","true","Candidate requires human review; generated fallback remains active."
"conventional-deadlift","Conventional Barbell Deadlift","AMBIGUOUS","100-gym-workouts:0032","deadlift barbell","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"converging-chest-press-machine","Converging Chest Press Machine","AMBIGUOUS","200-workouts:0237","seated machine chest press","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"cyclist-smith-squat","Smith Machine Cyclist Squat","AMBIGUOUS","200-workouts:0279","smith machine squat","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"dead-bug","Dead Bug","AUTO_MATCH","200-workouts:0105","dead bug","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"decline-chest-press-machine","Decline Chest Press Machine","AMBIGUOUS","200-workouts:0237","seated machine chest press","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"decline-dumbbell-bench-press","Decline Dumbbell Bench Press","AUTO_MATCH","100-gym-workouts:0047","dumbbell bench press (decline)","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"decline-push-up","Decline Push-Up","AUTO_MATCH","200-workouts:0224","decline push-up","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"deficit-barbell-deadlift","Deficit Barbell Deadlift","AMBIGUOUS","100-gym-workouts:0032","deadlift barbell","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"donkey-calf-raise-machine","Donkey Calf Raise Machine","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"double-dumbbell-suitcase-carry","Double Dumbbell Suitcase Carry","UNMATCHED","","","0.424","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-arnold-press","Dumbbell Arnold Press","AUTO_MATCH","100-gym-workouts:0087","arnold press dumbbell","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-b-stance-rdl","Dumbbell B-Stance Romanian Deadlift","AMBIGUOUS","200-workouts:0256","dumbbell romanian deadlift","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-bench-press","Dumbbell Bench Press","AUTO_MATCH","100-gym-workouts:0046","dumbbell bench press (bench)","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-bent-over-row","Dumbbell Bent-Over Row","AUTO_MATCH","200-workouts:0189","bent over dumbbell row","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-box-squat","Dumbbell Box Squat","AMBIGUOUS","100-gym-workouts:0064","dumbbell goblet squat","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-bulgarian-split-squat","Dumbbell Rear-Foot-Elevated Split Squat","AMBIGUOUS","100-gym-workouts:0063","dumbbell bulgarian split squat","0.5886","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-concentration-curl","Dumbbell Concentration Curl","AMBIGUOUS","100-gym-workouts:0015","dumbbell curl","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-contralateral-walking-lunge","Contralateral Dumbbell Walking Lunge","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-cross-body-curl","Dumbbell Cross-Body Curl","AMBIGUOUS","100-gym-workouts:0015","dumbbell curl","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-curl","Dumbbell Curl","AUTO_MATCH","100-gym-workouts:0015","dumbbell curl","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-cyclist-squat","Dumbbell Cyclist Squat","AMBIGUOUS","100-gym-workouts:0064","dumbbell goblet squat","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-dead-bug","Dumbbell Dead Bug","AMBIGUOUS","200-workouts:0105","dead bug","0.62","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-deadlift","Dumbbell Deadlift","AMBIGUOUS","200-workouts:0258","dumbbell sumo deadlift","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-farmers-carry","Dumbbell Farmers Carry","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-floor-press","Dumbbell Floor Press","AMBIGUOUS","100-gym-workouts:0046","dumbbell bench press (bench)","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-forward-lunge","Dumbbell Forward Lunge","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-frog-pump","Dumbbell Frog Pump","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-front-rack-carry","Dumbbell Front-Rack Carry","UNMATCHED","","","0.428","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-front-rack-reverse-lunge","Dumbbell Front-Rack Reverse Lunge","UNMATCHED","","","0.4","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-front-raise","Dumbbell Front Raise","AUTO_MATCH","100-gym-workouts:0092","front raise (dumbbell)","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-front-squat","Dumbbell Front Squat","AMBIGUOUS","100-gym-workouts:0064","dumbbell goblet squat","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-glute-bridge","Dumbbell Glute Bridge","AMBIGUOUS","200-workouts:0225","dumbbell glute bridge chest press","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-gorilla-row","Dumbbell Gorilla Row","AMBIGUOUS","200-workouts:0193","gorilla row","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-heel-elevated-goblet-squat","Heel-Elevated Goblet Squat","AMBIGUOUS","200-workouts:0261","goblet squat","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-hip-thrust","Dumbbell Hip Thrust","AMBIGUOUS","100-gym-workouts:0065","dumbbell hip hinge","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-lateral-lunge","Dumbbell Lateral Lunge","AMBIGUOUS","200-workouts:0216","lateral lunge","0.62","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-lateral-step-up","Dumbbell Lateral Step-Up","UNMATCHED","","","0.428","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-march-carry","Dumbbell March Carry","AMBIGUOUS","200-workouts:0255","dumbbell march","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-overhead-press","Dumbbell Overhead Press","AMBIGUOUS","100-gym-workouts:0017","dumbbell overhead press version 1","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-pullover","Dumbbell Pullover","UNMATCHED","","","0.52","","pending","true","No credible provider candidate; generated fallback remains active."
"dumbbell-push-press","Dumbbell Push Press","AMBIGUOUS","100-gym-workouts:0087","arnold press dumbbell","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-rdl","Dumbbell Romanian Deadlift","AUTO_MATCH","200-workouts:0256","dumbbell romanian deadlift","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-rear-delt-row","Dumbbell Rear-Delt Row","AMBIGUOUS","100-gym-workouts:0039","rear delt fly with dumbbell","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-renegade-row","Dumbbell Renegade Row","AMBIGUOUS","200-workouts:0199","renegade row","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-russian-twist","Dumbbell Russian Twist","AUTO_MATCH","200-workouts:0121","russian twist dumbbell","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-shrug","Dumbbell Shrug","AUTO_MATCH","100-gym-workouts:0034","dumbbell shrug","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-single-leg-rdl","Dumbbell Single-Leg Romanian Deadlift","AMBIGUOUS","200-workouts:0204","dumbbell single leg deadlift","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-skull-crusher","Dumbbell Lying Triceps Extension","AMBIGUOUS","100-gym-workouts:0021","overhead triceps extension (dumbbell)","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-spider-curl","Dumbbell Spider Curl","AUTO_MATCH","100-gym-workouts:0018","dumbbell spider curl","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-squeeze-press","Dumbbell Squeeze Press","AMBIGUOUS","100-gym-workouts:0046","dumbbell bench press (bench)","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-stiff-leg-deadlift","Dumbbell Stiff-Leg Deadlift","AMBIGUOUS","200-workouts:0256","dumbbell romanian deadlift","1","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-sumo-rdl","Dumbbell Sumo Romanian Deadlift","AMBIGUOUS","200-workouts:0256","dumbbell romanian deadlift","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-sumo-squat","Dumbbell Sumo Squat","AMBIGUOUS","100-gym-workouts:0064","dumbbell goblet squat","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"dumbbell-thruster","Dumbbell Thruster","AUTO_MATCH","200-workouts:0259","dumbbell thruster","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"dumbbell-triceps-kickback","Dumbbell Triceps Kickback","AUTO_MATCH","200-workouts:0146","dumbbell triceps kickback","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
